"paper_ID","species","light_treatment_mean","dark_treatment_mean","light_se","dark_se"
"XLE9CETS","Rhinolophus_hipposiderus",407.298939898598,102.454018543955,23.7575945682008,85.9155015799908
"4XJZH9V7","Myotis_spp",12.9334844828192,28.1127590150973,1.41919152948697,1.51993696786041
"4XJZH9V7","Pipistrellus_pygmaeus",58.4167076120308,92.1331036309248,4.1728070819551,5.31309602517183
"4XJZH9V7","Pipistrellus_pipistrellus",32.926248183881,61.3620304282219,2.84838164604636,3.12247549257464
"HYJXU4SH","Rhinolophus_ferrumequinum",1.07110981288103,3.03328462293412,0.434724982261942,1.30184711674017
"HYJXU4SH","Rhinolophus_hipposideros",1.10608958697661,3.71260584231349,0.267418153630708,0.812190918448071
"HYJXU4SH","Myotis_spp",6.34532405331738,17.899928524492,2.19928968455774,6.27383640687373
"HYJXU4SH","Pipistrellus_pipistrellus",63.6991373278174,95.8254369025548,16.9768862361611,28.0914712807144
"HYJXU4SH","Pipistrellus_pygmaeus",18.5418355897221,11.8721852375359,8.77569148433796,3.93894839814662
"66FLKFKZ","Chalinolobus_gouldii",4.1116654128367,3.75669826345181,3.22545159681733,2.99608412228952
"66FLKFKZ","Ozimops_ridei",1.81277573887696,0.574577154801003,2.29927552145462,0.640259974319446
"66FLKFKZ","Vespadelus_vulturnus",0.122962216904267,2.59614521633866,0.385323235303889,3.29348558444238
"NSX6JM2N","Pipistrellus_pipistrellus",387.302053934157,272.805041109799,139.983916559238,101.050738050145
"NSX6JM2N","Myotis_spp",0.673905589737587,1.64409368534612,0.360687706472721,0.762688513160116
"6IHYJZ5N","Rhinolophus_hipposideros",10.3242541257393,79.4281760895166,10.1576859505354,21.2731654562706
